N,count,s,s2,s2_over_n
127,127,6.589605743,43.422903846,0.341912629
128,128,6.634308503,44.014049319,0.343859760
129,129,6.636247882,44.039785946,0.341393690
130,130,6.636541477,44.043682775,0.338797560
131,131,6.637409452,44.055204236,0.336299269
132,132,6.638072920,44.064012094,0.333818273
133,133,6.737306604,45.391300274,0.341287972
134,134,6.813786758,46.427689984,0.346475298
135,135,6.847870918,46.893336113,0.347358045
136,136,6.856373299,47.009854809,0.345660697
137,137,6.858472463,47.038644528,0.343347770
138,138,6.861384877,47.078602437,0.341149293
139,139,6.884481243,47.396081982,0.340979007
140,140,6.900273306,47.613771691,0.340098369
141,141,6.979295553,48.710566417,0.345465010
142,142,6.984456601,48.782634015,0.343539676
143,143,7.018765276,49.263066002,0.344496965
144,144,7.020527994,49.287813315,0.342276481
145,145,7.058871141,49.827661781,0.343639047
146,146,7.081201526,50.143415045,0.343448048
147,147,7.087954020,50.239092197,0.341762532
148,148,7.091850177,50.294338932,0.339826614
149,149,7.102248850,50.441938723,0.338536501
150,150,7.110554172,50.559980633,0.337066538
151,151,7.167986471,51.380030048,0.340265100
152,152,7.172911710,51.450662398,0.338491200
153,153,7.173013645,51.452124753,0.336288397
154,154,7.173582427,51.460284842,0.334157694
155,155,7.174422962,51.472344831,0.332079644
156,156,7.174858889,51.478600078,0.329991026
157,157,7.326787443,53.681814232,0.341922384
158,158,7.358684403,54.150236148,0.342723014
159,159,7.363055075,54.214580041,0.340972202
160,160,7.380488642,54.471612592,0.340447579
161,161,7.383749484,54.519756443,0.338632028
162,162,7.403366140,54.809830197,0.338332285
163,163,7.418107867,55.028324325,0.337597082
164,164,7.437858762,55.321742959,0.337327701
165,165,7.441025578,55.368861656,0.335568859
166,166,7.455203690,55.580062062,0.334819651
167,167,7.455427232,55.583395208,0.332834702
168,168,7.473673210,55.855791249,0.332474948
169,169,7.608053382,57.882476259,0.342499860
170,170,7.619208602,58.052339717,0.341484351
171,171,7.641191619,58.387809359,0.341449178
172,172,7.654509780,58.591519978,0.340648372
173,173,7.663658641,58.731663771,0.339489386
174,174,7.680872034,58.995795207,0.339056294
175,175,7.698663752,59.269423568,0.338682420
176,176,7.715272227,59.525425540,0.338212645
177,177,7.715595819,59.530418837,0.336330050
178,178,7.715659569,59.531402592,0.334446082
179,179,7.715927491,59.535537043,0.332600766
180,180,7.718861553,59.580823669,0.331004576
181,181,7.728050359,59.722762355,0.329960013
182,182,7.749705213,60.057930892,0.329988631
183,183,7.882946360,62.140843320,0.339567450
184,184,7.911241261,62.587738288,0.340150752
185,185,7.914379671,62.637405572,0.338580571
186,186,7.964079841,63.426567706,0.341003052
187,187,7.980872258,63.694322006,0.340611348
188,188,7.994292635,63.908714739,0.339939972
189,189,8.002338290,64.037418104,0.338822318
190,190,8.016483041,64.264000340,0.338231581
191,191,8.020032219,64.320916793,0.336758727
192,192,8.023577026,64.377788292,0.335300981
193,193,8.067164552,65.079143903,0.337197637
194,194,8.077517644,65.246291290,0.336321089
195,195,8.079853140,65.284026757,0.334789881
196,196,8.088243960,65.419690353,0.333773930
197,197,8.184293207,66.982655293,0.340013479
198,198,8.202895294,67.287491200,0.339835814
199,199,8.207855379,67.368889923,0.338537135
200,200,8.220565887,67.577703500,0.337888518
