n,s_alpha,s_beta,difference
160,7.380488642,11.146858182,3.766369540
161,7.383749484,10.921261859,3.537512375
162,7.403366140,11.112131428,3.708765289
163,7.418107867,10.581528921,3.163421054
164,7.437858762,11.220489525,3.782630763
165,7.441025578,10.978314696,3.537289117
166,7.455203690,10.732580418,3.277376728
167,7.455427232,11.954147230,4.498719998
168,7.473673210,11.692778977,4.219105767
169,7.608053382,10.796385734,3.188332352
170,7.619208602,12.845028722,5.225820120
171,7.641191619,12.355265881,4.714074262
172,7.654509780,12.979627683,5.325117903
173,7.663658641,12.404916054,4.741257413
174,7.680872034,12.557341904,4.876469870
175,7.698663752,12.666144321,4.967480569
176,7.715272227,13.017694790,5.302422562
177,7.715595819,12.959570952,5.243975133
178,7.715659569,12.764710619,5.049051049
179,7.715927491,13.214916486,5.498988995
180,7.718861553,13.440158819,5.721297266
181,7.728050359,13.019722894,5.291672535
182,7.749705213,12.851702030,5.101996817
183,7.882946360,15.456603785,7.573657425
184,7.911241261,15.763132968,7.851891707
185,7.914379671,11.897406593,3.983026922
186,7.964079841,11.768418400,3.804338559
187,7.980872258,11.838089877,3.857217619
188,7.994292635,11.940210195,3.945917560
189,8.002338290,11.919181734,3.916843444
190,8.016483041,12.150539974,4.134056933
191,8.020032219,11.570879528,3.550847309
192,8.023577026,11.835611147,3.812034121
193,8.067164552,12.214370702,4.147206150
194,8.077517644,12.123492109,4.045974465
195,8.079853140,12.185031474,4.105178335
196,8.088243960,8.088243960,0.000000000
197,8.184293207,8.184293207,0.000000000
198,8.202895294,8.202895294,0.000000000
199,8.207855379,8.207855379,0.000000000
200,8.220565887,8.220565887,0.000000000
